"scaled","CA01","CA02","CA03","CA04","CA05","CA06","CA07","CA08","CA09","CA10","CA26","CA27","CA28","CA29","CA30"
1830,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1866,NA,NA,NA,NA,NA,NA,NA,NA,0.229418736737453,NA,NA,NA,NA,NA,NA
1867,NA,NA,NA,NA,NA,NA,NA,NA,0.381853517715794,NA,NA,NA,NA,NA,NA
1868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.419679329530431,NA,NA
1871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563472630254731,NA,NA
1872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.279191007563107,NA,NA
1873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,NA,NA,NA,NA,0.519330159824414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1875,NA,NA,NA,NA,0.2107000330791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876,NA,NA,NA,NA,0.325050898489376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,NA,NA,NA,NA,NA,NA,NA,0.712649006082474,NA,NA,NA,NA,NA,NA,NA
1880,NA,NA,NA,NA,NA,NA,NA,0.777678597675026,NA,NA,NA,NA,NA,NA,NA
1881,NA,NA,NA,NA,NA,NA,NA,0.359418429638605,NA,NA,NA,NA,NA,NA,NA
1882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,NA,NA,NA,NA,NA,NA,0.324978691578561,NA,NA,NA,NA,NA,NA,NA,NA
1885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887,NA,NA,NA,NA,0.371082158677613,NA,NA,NA,NA,NA,NA,NA,NA,1.40528435360385,NA
1888,NA,NA,NA,NA,0.498330992025617,NA,0.216835030172298,NA,NA,NA,NA,0.23928100485746,NA,1.40528435360385,NA
1889,NA,NA,NA,0.529814309466632,0.437440798000426,NA,0.223526634595936,NA,NA,NA,NA,0.216830796861454,NA,1.49619923784809,NA
1890,NA,NA,NA,0.317417484809775,0.50513996911954,NA,NA,NA,NA,NA,NA,NA,NA,1.01964539406234,NA
1891,NA,NA,NA,0.353842442083028,0.692614596834008,NA,NA,NA,NA,NA,NA,NA,NA,0.933216588600086,NA
1892,NA,NA,NA,0.533365445786917,0.905290426984301,NA,NA,NA,NA,NA,NA,NA,NA,1.07505671883481,NA
1893,NA,NA,NA,0.751915189426435,1.19370139534734,NA,NA,NA,NA,NA,NA,NA,NA,0.611362553145657,NA
1894,NA,NA,NA,0.641455212414914,1.02177683137996,NA,NA,NA,NA,NA,NA,NA,0.520778319474897,0.376497411062092,0.336608092430828
1895,NA,NA,0.208380578979188,0.720446864105744,1.09050051632784,0.578279297910582,NA,NA,0.25638142118149,0.285887148440782,NA,NA,0.653740073976154,NA,0.466630477909018
1896,NA,NA,NA,0.639235495546384,1.27787013431469,1.29776262734874,NA,NA,0.408578219994754,NA,NA,NA,0.3610131600724,NA,0.294141417595899
1897,NA,NA,NA,0.583505029327979,1.32275306665812,1.88347532325422,NA,NA,0.631695130450198,NA,0.296082997264585,NA,0.445642387426231,NA,0.397045850727247
1898,NA,NA,NA,0.533836482689986,1.28930333334266,1.92625925348432,NA,NA,0.672963946628173,NA,0.422610216834055,NA,0.27288576248666,0.243265396076646,0.435244716291894
1899,NA,NA,NA,0.488799883152695,0.468251824766853,1.55510176884281,NA,NA,0.672963946628173,NA,0.615233052958333,NA,NA,NA,0.286460049800705
1900,NA,NA,NA,0.377623963363432,NA,1.55510176884281,NA,NA,0.672963946628173,NA,0.816924100261936,NA,NA,NA,0.373451583201745
1901,NA,NA,NA,0.25477552033414,NA,1.55510176884281,NA,NA,0.668719310481952,NA,0.82739748616273,NA,NA,NA,0.352389396439261
1902,NA,NA,NA,NA,NA,1.55510176884281,NA,NA,0.532930275630579,NA,0.82739748616273,NA,NA,NA,0.292070490742451
1903,NA,NA,NA,NA,NA,1.04433811389763,NA,NA,0.279990813437784,NA,0.812114569576375,NA,NA,NA,NA
1904,NA,NA,NA,NA,NA,0.536512626235445,NA,NA,NA,NA,0.700037537178285,NA,NA,NA,NA
1905,NA,NA,NA,NA,NA,0.401616016535615,NA,NA,NA,NA,0.585485443462747,NA,NA,NA,NA
1906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468712462244415,NA,NA,NA,NA
1907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.242982745037839,NA,NA,NA,NA
1908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,NA,0.379170990568645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,0.567915623881982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,NA,0.595648862973667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,NA,0.645891526337002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,NA,0.51049988503182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,NA,0.426378896925209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,NA,0.298277546755021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,NA,NA,0.230522357363944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,0.228631662672504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,0.206326134606894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,0.251893609284871,0.251759448879074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,0.261767161090458,0.439916510672908,NA,NA,NA,NA,0.354285980583725,NA,NA,NA,NA,NA
1925,NA,NA,NA,0.249703698252953,0.528742736009823,NA,NA,NA,NA,0.558136901415104,NA,NA,NA,NA,NA
1926,NA,NA,NA,0.248637252692904,0.530450665911806,NA,NA,NA,NA,0.763498278109603,NA,NA,NA,NA,NA
1927,NA,NA,NA,0.246768971520084,0.63057153328851,NA,NA,0.270053463448644,NA,0.73902194735133,NA,NA,NA,NA,NA
1928,NA,NA,NA,0.227571319623868,0.588923743377679,NA,NA,0.482223551837799,NA,0.73471231269393,NA,NA,NA,NA,NA
1929,NA,NA,NA,NA,0.521141716175561,NA,NA,0.480898846928123,NA,0.73471231269393,NA,NA,NA,NA,NA
1930,NA,NA,NA,NA,0.530371564343503,NA,NA,0.480898846928123,NA,0.687981494218698,NA,NA,NA,NA,NA
1931,NA,NA,NA,NA,0.544339111754279,NA,NA,0.480898846928123,NA,0.688446069607048,NA,NA,NA,NA,NA
1932,NA,NA,NA,NA,0.362664370671301,NA,NA,0.480898846928123,NA,0.626454233162463,NA,NA,NA,NA,NA
1933,NA,NA,NA,NA,NA,NA,NA,0.365191377906184,NA,0.236419315162583,NA,NA,NA,NA,NA
1934,NA,NA,NA,NA,NA,NA,NA,0.270720333481768,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,NA,NA,NA,NA,0.206126324590588,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,NA,NA,0.249346220634462,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,NA,NA,0.384983130645892,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,NA,NA,0.528420400621735,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,NA,NA,0.497003302049597,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,NA,NA,0.427667585689041,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,NA,NA,0.311030971410211,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,NA,NA,0.290295573316197,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,NA,NA,0.223099255845937,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253590910682551,NA,NA,NA,NA,NA
1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202450658717548,NA,NA,NA,0.24636981078071,0.258059078867979
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329901579299821,0.49758705491875
1961,NA,NA,NA,0.211869269357973,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.350655843880729,0.643376892665645
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.375863439439191,0.64654623696449
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.334242044201208,0.680587342396535
1964,NA,0.26784362017187,0.305214363201458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.344457040152834,0.854289997854796
1965,NA,0.369658245809539,0.339034639744084,NA,NA,NA,NA,0.231539609182886,NA,NA,NA,NA,NA,0.344457040152834,0.919484081919331
1966,NA,0.441639651546727,0.323026160112114,NA,NA,NA,NA,0.316034854358809,NA,NA,NA,NA,0.273670259593941,0.240712830575732,0.970389775035972
1967,0.233512010959877,0.363938288763394,0.323952138814057,NA,NA,NA,NA,0.301400282608617,NA,NA,NA,NA,0.34065707861986,0.22524725494325,0.816603874980963
1968,0.309151825957941,0.39496910418558,0.256211688176554,NA,NA,NA,NA,0.216133740185376,NA,NA,NA,NA,0.288083682216783,0.202442816634047,0.70095486751852
1969,0.321298652984723,0.400233139539887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.285127059144181,NA,0.631371957627461
1970,0.321298652984723,0.340241007726477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229492511018487,NA,0.379448109419185
1971,0.259111816923163,0.477826270940751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.397108000874041
1972,0.236377755601839,0.83849330330484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.521555577839722
1973,NA,0.848168321619407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.359349415519079
1974,NA,0.798757380269251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208011062931073,NA
1975,NA,0.767714582439664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209292159154387,NA
1976,NA,0.530215261866922,NA,NA,NA,NA,NA,NA,NA,0.250511429882972,NA,NA,NA,0.209292159154387,NA
1977,NA,0.612351335584518,NA,NA,NA,NA,NA,NA,NA,0.344333957609976,NA,NA,NA,0.230221375069826,NA
1978,NA,0.44697998345151,NA,NA,NA,NA,NA,NA,NA,0.339736330711935,NA,NA,NA,0.287776718837283,NA
1979,NA,0.32479299829254,NA,NA,NA,NA,NA,NA,NA,0.411963739603449,NA,NA,NA,0.241468199325893,NA
1980,NA,0.235933994122017,NA,NA,NA,NA,NA,NA,NA,0.450062187662712,0.201130932547695,NA,NA,0.203017799046409,NA
1981,NA,NA,0.240561588276235,NA,NA,NA,NA,NA,NA,0.465443975376363,0.211000957186941,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.347798254166611,0.25320114862433,NA,NA,NA,NA
1983,NA,NA,0.236587044244928,NA,NA,NA,NA,NA,NA,0.228079451935346,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,0.20011587869812,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,0.259319595091656,NA,NA,NA,NA,NA,NA,0.200197187455418,NA,NA,NA,NA,NA
1986,NA,NA,0.249943157387062,NA,NA,NA,NA,NA,NA,0.200197187455418,0.225568298635278,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.223326324683251,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,0.205294227801787,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,0.253101615181556,NA,0.363212864572393,NA,NA,NA,NA,NA,NA,NA
1995,0.233250633943953,NA,NA,NA,NA,0.425544473876682,NA,0.436908228398675,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,0.425544473876682,NA,0.397915972405933,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,0.256406289756563,NA,0.368402059386646,NA,NA,NA,NA,NA,NA,NA
1998,0.207692526556588,NA,NA,NA,NA,0.366940043468836,NA,0.418662442686803,NA,NA,NA,NA,NA,NA,0.297620762475215
1999,0.270000284523564,NA,NA,NA,NA,0.303092914717296,0.243253352445973,0.621522051234262,NA,NA,0.215894663635613,NA,NA,NA,0.312377852626648
2000,0.263486534333358,NA,NA,NA,NA,0.312659760716788,0.321527455822636,0.747614907224115,NA,NA,0.211195862981165,NA,NA,NA,0.305556718952709
2001,0.293570032360215,NA,0.286508295488664,NA,NA,0.484207594030424,0.397683928042839,0.819773940991,NA,NA,0.327624351547704,NA,0.239596322212966,NA,0.326123036574526
2002,0.342531189786339,NA,NA,NA,0.311800691269768,0.489741395105058,0.424057938703833,0.900699424201458,NA,NA,0.327624351547704,NA,0.201611539423106,NA,0.21153926696726
2003,0.358219641226935,NA,NA,NA,0.356536137800134,0.50944383727862,0.450415321132195,0.572999811572896,NA,NA,0.383537549257493,NA,NA,NA,0.21153926696726
2004,NA,NA,NA,NA,0.423008977051007,0.291634060590428,0.39647061492131,0.34180337760988,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,0.348246401436681,NA,0.329216974255577,0.323676215700753,NA,NA,0.267071340470248,NA,NA,NA,NA
2006,0.239648019201518,NA,NA,NA,0.247523878289789,NA,0.363194975283207,0.325501443591712,NA,0.23422946699669,0.301246804309609,NA,NA,NA,NA
