"year","total_tree","n_pos","n_neg","per_pos","per_neg","site","site_sorted"
1846,1,NA,1,NA,100,"gc_caL","2_caL"
1847,1,NA,1,NA,100,"gc_caL","2_caL"
1848,1,NA,1,NA,100,"gc_caL","2_caL"
1849,1,NA,1,NA,100,"gc_caL","2_caL"
1850,1,NA,1,NA,100,"gc_caL","2_caL"
1851,1,NA,1,NA,100,"gc_caL","2_caL"
1852,1,NA,1,NA,100,"gc_caL","2_caL"
1853,1,NA,1,NA,100,"gc_caL","2_caL"
1854,1,NA,1,NA,100,"gc_caL","2_caL"
1855,1,NA,1,NA,100,"gc_caL","2_caL"
1856,1,NA,1,NA,100,"gc_caL","2_caL"
1857,1,NA,1,NA,100,"gc_caL","2_caL"
1858,1,NA,1,NA,100,"gc_caL","2_caL"
1859,1,NA,1,NA,100,"gc_caL","2_caL"
1860,1,NA,NA,NA,NA,"gc_caL","2_caL"
1861,3,NA,2,NA,66.67,"gc_caL","2_caL"
1862,3,NA,2,NA,66.67,"gc_caL","2_caL"
1863,3,NA,2,NA,66.67,"gc_caL","2_caL"
1864,3,NA,2,NA,66.67,"gc_caL","2_caL"
1865,3,NA,2,NA,66.67,"gc_caL","2_caL"
1866,3,NA,1,NA,33.33,"gc_caL","2_caL"
1867,3,NA,1,NA,33.33,"gc_caL","2_caL"
1868,3,NA,1,NA,33.33,"gc_caL","2_caL"
1869,3,NA,1,NA,33.33,"gc_caL","2_caL"
1870,5,NA,2,NA,40,"gc_caL","2_caL"
1871,5,NA,2,NA,40,"gc_caL","2_caL"
1872,6,NA,3,NA,50,"gc_caL","2_caL"
1873,7,NA,5,NA,71.43,"gc_caL","2_caL"
1874,8,1,5,12.5,62.5,"gc_caL","2_caL"
1875,8,NA,5,NA,62.5,"gc_caL","2_caL"
1876,9,1,7,11.11,77.78,"gc_caL","2_caL"
1877,11,NA,9,NA,81.82,"gc_caL","2_caL"
1878,12,NA,10,NA,83.33,"gc_caL","2_caL"
1879,12,NA,9,NA,75,"gc_caL","2_caL"
1880,12,NA,10,NA,83.33,"gc_caL","2_caL"
1881,12,NA,10,NA,83.33,"gc_caL","2_caL"
1882,12,NA,9,NA,75,"gc_caL","2_caL"
1883,12,NA,9,NA,75,"gc_caL","2_caL"
1884,12,NA,7,NA,58.33,"gc_caL","2_caL"
1885,12,NA,8,NA,66.67,"gc_caL","2_caL"
1886,13,NA,8,NA,61.54,"gc_caL","2_caL"
1887,14,1,8,7.14,57.14,"gc_caL","2_caL"
1888,14,2,6,14.29,42.86,"gc_caL","2_caL"
1889,14,3,6,21.43,42.86,"gc_caL","2_caL"
1890,14,3,5,21.43,35.71,"gc_caL","2_caL"
1891,14,3,5,21.43,35.71,"gc_caL","2_caL"
1892,14,3,4,21.43,28.57,"gc_caL","2_caL"
1893,14,3,1,21.43,7.14,"gc_caL","2_caL"
1894,14,3,1,21.43,7.14,"gc_caL","2_caL"
1895,14,4,2,28.57,14.29,"gc_caL","2_caL"
1896,14,3,1,21.43,7.14,"gc_caL","2_caL"
1897,14,6,1,42.86,7.14,"gc_caL","2_caL"
1898,14,6,1,42.86,7.14,"gc_caL","2_caL"
1899,14,5,1,35.71,7.14,"gc_caL","2_caL"
1900,14,4,1,28.57,7.14,"gc_caL","2_caL"
1901,14,3,2,21.43,14.29,"gc_caL","2_caL"
1902,14,3,3,21.43,21.43,"gc_caL","2_caL"
1903,14,2,2,14.29,14.29,"gc_caL","2_caL"
1904,14,1,6,7.14,42.86,"gc_caL","2_caL"
1905,14,1,6,7.14,42.86,"gc_caL","2_caL"
1906,14,1,7,7.14,50,"gc_caL","2_caL"
1907,14,NA,8,NA,57.14,"gc_caL","2_caL"
1908,14,NA,9,NA,64.29,"gc_caL","2_caL"
1909,15,NA,10,NA,66.67,"gc_caL","2_caL"
1910,15,NA,10,NA,66.67,"gc_caL","2_caL"
1911,15,1,8,6.67,53.33,"gc_caL","2_caL"
1912,15,1,8,6.67,53.33,"gc_caL","2_caL"
1913,15,1,7,6.67,46.67,"gc_caL","2_caL"
1914,15,1,6,6.67,40,"gc_caL","2_caL"
1915,15,1,5,6.67,33.33,"gc_caL","2_caL"
1916,15,NA,5,NA,33.33,"gc_caL","2_caL"
1917,15,NA,5,NA,33.33,"gc_caL","2_caL"
1918,15,NA,5,NA,33.33,"gc_caL","2_caL"
1919,15,1,4,6.67,26.67,"gc_caL","2_caL"
1920,15,1,4,6.67,26.67,"gc_caL","2_caL"
1921,15,1,3,6.67,20,"gc_caL","2_caL"
1922,15,NA,4,NA,26.67,"gc_caL","2_caL"
1923,15,1,4,6.67,26.67,"gc_caL","2_caL"
1924,15,3,3,20,20,"gc_caL","2_caL"
1925,15,3,2,20,13.33,"gc_caL","2_caL"
1926,15,3,NA,20,NA,"gc_caL","2_caL"
1927,15,4,NA,26.67,NA,"gc_caL","2_caL"
1928,15,3,NA,20,NA,"gc_caL","2_caL"
1929,15,3,1,20,6.67,"gc_caL","2_caL"
1930,15,3,2,20,13.33,"gc_caL","2_caL"
1931,15,3,2,20,13.33,"gc_caL","2_caL"
1932,15,3,3,20,20,"gc_caL","2_caL"
1933,15,1,3,6.67,20,"gc_caL","2_caL"
1934,15,1,3,6.67,20,"gc_caL","2_caL"
1935,15,1,4,6.67,26.67,"gc_caL","2_caL"
1936,15,NA,5,NA,33.33,"gc_caL","2_caL"
1937,15,NA,5,NA,33.33,"gc_caL","2_caL"
1938,15,NA,8,NA,53.33,"gc_caL","2_caL"
1939,15,NA,5,NA,33.33,"gc_caL","2_caL"
1940,15,NA,6,NA,40,"gc_caL","2_caL"
1941,15,NA,7,NA,46.67,"gc_caL","2_caL"
1942,15,NA,9,NA,60,"gc_caL","2_caL"
1943,15,NA,8,NA,53.33,"gc_caL","2_caL"
1944,15,NA,10,NA,66.67,"gc_caL","2_caL"
1945,15,NA,10,NA,66.67,"gc_caL","2_caL"
1946,15,NA,11,NA,73.33,"gc_caL","2_caL"
1947,15,NA,11,NA,73.33,"gc_caL","2_caL"
1948,15,NA,12,NA,80,"gc_caL","2_caL"
1949,15,NA,11,NA,73.33,"gc_caL","2_caL"
1950,15,NA,11,NA,73.33,"gc_caL","2_caL"
1951,15,1,10,6.67,66.67,"gc_caL","2_caL"
1952,15,1,5,6.67,33.33,"gc_caL","2_caL"
1953,15,1,5,6.67,33.33,"gc_caL","2_caL"
1954,15,1,5,6.67,33.33,"gc_caL","2_caL"
1955,15,1,7,6.67,46.67,"gc_caL","2_caL"
1956,15,1,4,6.67,26.67,"gc_caL","2_caL"
1957,15,NA,2,NA,13.33,"gc_caL","2_caL"
1958,15,1,1,6.67,6.67,"gc_caL","2_caL"
1959,15,5,1,33.33,6.67,"gc_caL","2_caL"
1960,15,2,1,13.33,6.67,"gc_caL","2_caL"
1961,15,3,2,20,13.33,"gc_caL","2_caL"
1962,15,2,1,13.33,6.67,"gc_caL","2_caL"
1963,15,2,2,13.33,13.33,"gc_caL","2_caL"
1964,15,3,1,20,6.67,"gc_caL","2_caL"
1965,15,6,1,40,6.67,"gc_caL","2_caL"
1966,15,6,2,40,13.33,"gc_caL","2_caL"
1967,15,6,2,40,13.33,"gc_caL","2_caL"
1968,15,5,2,33.33,13.33,"gc_caL","2_caL"
1969,15,4,2,26.67,13.33,"gc_caL","2_caL"
1970,15,4,NA,26.67,NA,"gc_caL","2_caL"
1971,15,3,1,20,6.67,"gc_caL","2_caL"
1972,15,3,NA,20,NA,"gc_caL","2_caL"
1973,15,2,NA,13.33,NA,"gc_caL","2_caL"
1974,15,1,3,6.67,20,"gc_caL","2_caL"
1975,15,1,2,6.67,13.33,"gc_caL","2_caL"
1976,15,2,1,13.33,6.67,"gc_caL","2_caL"
1977,15,2,NA,13.33,NA,"gc_caL","2_caL"
1978,15,2,2,13.33,13.33,"gc_caL","2_caL"
1979,15,1,2,6.67,13.33,"gc_caL","2_caL"
1980,15,2,1,13.33,6.67,"gc_caL","2_caL"
1981,15,3,1,20,6.67,"gc_caL","2_caL"
1982,15,2,2,13.33,13.33,"gc_caL","2_caL"
1983,15,3,2,20,13.33,"gc_caL","2_caL"
1984,15,NA,2,NA,13.33,"gc_caL","2_caL"
1985,15,1,1,6.67,6.67,"gc_caL","2_caL"
1986,15,2,NA,13.33,NA,"gc_caL","2_caL"
1987,15,1,1,6.67,6.67,"gc_caL","2_caL"
1988,15,NA,2,NA,13.33,"gc_caL","2_caL"
1989,15,NA,3,NA,20,"gc_caL","2_caL"
1990,15,NA,3,NA,20,"gc_caL","2_caL"
1991,15,NA,5,NA,33.33,"gc_caL","2_caL"
1992,15,NA,2,NA,13.33,"gc_caL","2_caL"
1993,15,NA,2,NA,13.33,"gc_caL","2_caL"
1994,15,1,2,6.67,13.33,"gc_caL","2_caL"
1995,15,2,2,13.33,13.33,"gc_caL","2_caL"
1996,15,2,2,13.33,13.33,"gc_caL","2_caL"
1997,15,1,1,6.67,6.67,"gc_caL","2_caL"
1998,15,3,1,20,6.67,"gc_caL","2_caL"
1999,15,6,NA,40,NA,"gc_caL","2_caL"
2000,15,5,NA,33.33,NA,"gc_caL","2_caL"
2001,15,8,NA,53.33,NA,"gc_caL","2_caL"
2002,15,8,NA,53.33,NA,"gc_caL","2_caL"
2003,15,7,NA,46.67,NA,"gc_caL","2_caL"
2004,15,3,NA,20,NA,"gc_caL","2_caL"
2005,15,4,NA,26.67,NA,"gc_caL","2_caL"
2006,15,5,NA,33.33,NA,"gc_caL","2_caL"
1829,2,1,NA,50,NA,"gc_caH","1_caH"
1830,2,1,NA,50,NA,"gc_caH","1_caH"
1831,2,1,NA,50,NA,"gc_caH","1_caH"
1832,2,NA,1,NA,50,"gc_caH","1_caH"
1833,2,NA,1,NA,50,"gc_caH","1_caH"
1834,2,NA,NA,NA,NA,"gc_caH","1_caH"
1835,2,NA,NA,NA,NA,"gc_caH","1_caH"
1836,2,NA,NA,NA,NA,"gc_caH","1_caH"
1837,3,1,NA,33.33,NA,"gc_caH","1_caH"
1838,3,1,NA,33.33,NA,"gc_caH","1_caH"
1839,4,1,NA,25,NA,"gc_caH","1_caH"
1840,5,1,NA,20,NA,"gc_caH","1_caH"
1841,6,3,1,50,16.67,"gc_caH","1_caH"
1842,6,3,NA,50,NA,"gc_caH","1_caH"
1843,6,NA,NA,NA,NA,"gc_caH","1_caH"
1844,7,NA,1,NA,14.29,"gc_caH","1_caH"
1845,7,NA,1,NA,14.29,"gc_caH","1_caH"
1846,7,NA,1,NA,14.29,"gc_caH","1_caH"
1847,7,NA,1,NA,14.29,"gc_caH","1_caH"
1848,7,NA,1,NA,14.29,"gc_caH","1_caH"
1849,7,2,1,28.57,14.29,"gc_caH","1_caH"
1850,7,2,1,28.57,14.29,"gc_caH","1_caH"
1851,7,3,1,42.86,14.29,"gc_caH","1_caH"
1852,7,3,NA,42.86,NA,"gc_caH","1_caH"
1853,8,3,NA,37.5,NA,"gc_caH","1_caH"
1854,8,4,NA,50,NA,"gc_caH","1_caH"
1855,8,3,NA,37.5,NA,"gc_caH","1_caH"
1856,9,3,1,33.33,11.11,"gc_caH","1_caH"
1857,9,3,1,33.33,11.11,"gc_caH","1_caH"
1858,9,1,1,11.11,11.11,"gc_caH","1_caH"
1859,9,1,NA,11.11,NA,"gc_caH","1_caH"
1860,9,1,1,11.11,11.11,"gc_caH","1_caH"
1861,9,NA,2,NA,22.22,"gc_caH","1_caH"
1862,9,NA,3,NA,33.33,"gc_caH","1_caH"
1863,10,NA,4,NA,40,"gc_caH","1_caH"
1864,10,NA,4,NA,40,"gc_caH","1_caH"
1865,10,NA,4,NA,40,"gc_caH","1_caH"
1866,10,NA,6,NA,60,"gc_caH","1_caH"
1867,10,NA,6,NA,60,"gc_caH","1_caH"
1868,11,NA,8,NA,72.73,"gc_caH","1_caH"
1869,11,NA,10,NA,90.91,"gc_caH","1_caH"
1870,11,NA,10,NA,90.91,"gc_caH","1_caH"
1871,11,NA,10,NA,90.91,"gc_caH","1_caH"
1872,11,NA,10,NA,90.91,"gc_caH","1_caH"
1873,11,NA,8,NA,72.73,"gc_caH","1_caH"
1874,11,NA,7,NA,63.64,"gc_caH","1_caH"
1875,12,NA,7,NA,58.33,"gc_caH","1_caH"
1876,12,NA,7,NA,58.33,"gc_caH","1_caH"
1877,12,NA,6,NA,50,"gc_caH","1_caH"
1878,12,NA,4,NA,33.33,"gc_caH","1_caH"
1879,12,NA,2,NA,16.67,"gc_caH","1_caH"
1880,12,2,1,16.67,8.33,"gc_caH","1_caH"
1881,12,2,1,16.67,8.33,"gc_caH","1_caH"
1882,12,2,1,16.67,8.33,"gc_caH","1_caH"
1883,12,2,1,16.67,8.33,"gc_caH","1_caH"
1884,12,2,NA,16.67,NA,"gc_caH","1_caH"
1885,12,1,NA,8.33,NA,"gc_caH","1_caH"
1886,12,NA,NA,NA,NA,"gc_caH","1_caH"
1887,12,NA,1,NA,8.33,"gc_caH","1_caH"
1888,12,NA,3,NA,25,"gc_caH","1_caH"
1889,12,1,3,8.33,25,"gc_caH","1_caH"
1890,12,1,4,8.33,33.33,"gc_caH","1_caH"
1891,12,1,4,8.33,33.33,"gc_caH","1_caH"
1892,12,1,7,8.33,58.33,"gc_caH","1_caH"
1893,12,NA,8,NA,66.67,"gc_caH","1_caH"
1894,12,NA,6,NA,50,"gc_caH","1_caH"
1895,12,NA,5,NA,41.67,"gc_caH","1_caH"
1896,12,NA,3,NA,25,"gc_caH","1_caH"
1897,12,NA,NA,NA,NA,"gc_caH","1_caH"
1898,13,2,1,15.38,7.69,"gc_caH","1_caH"
1899,13,1,1,7.69,7.69,"gc_caH","1_caH"
1900,13,1,2,7.69,15.38,"gc_caH","1_caH"
1901,13,1,2,7.69,15.38,"gc_caH","1_caH"
1902,13,1,2,7.69,15.38,"gc_caH","1_caH"
1903,14,2,2,14.29,14.29,"gc_caH","1_caH"
1904,14,1,2,7.14,14.29,"gc_caH","1_caH"
1905,14,1,2,7.14,14.29,"gc_caH","1_caH"
1906,14,1,6,7.14,42.86,"gc_caH","1_caH"
1907,14,NA,5,NA,35.71,"gc_caH","1_caH"
1908,15,NA,8,NA,53.33,"gc_caH","1_caH"
1909,15,NA,8,NA,53.33,"gc_caH","1_caH"
1910,15,NA,5,NA,33.33,"gc_caH","1_caH"
1911,15,NA,5,NA,33.33,"gc_caH","1_caH"
1912,15,NA,5,NA,33.33,"gc_caH","1_caH"
1913,15,NA,5,NA,33.33,"gc_caH","1_caH"
1914,15,NA,5,NA,33.33,"gc_caH","1_caH"
1915,15,NA,3,NA,20,"gc_caH","1_caH"
1916,15,NA,3,NA,20,"gc_caH","1_caH"
1917,15,NA,3,NA,20,"gc_caH","1_caH"
1918,15,NA,4,NA,26.67,"gc_caH","1_caH"
1919,15,NA,5,NA,33.33,"gc_caH","1_caH"
1920,15,NA,4,NA,26.67,"gc_caH","1_caH"
1921,15,NA,3,NA,20,"gc_caH","1_caH"
1922,15,NA,4,NA,26.67,"gc_caH","1_caH"
1923,15,NA,5,NA,33.33,"gc_caH","1_caH"
1924,15,NA,5,NA,33.33,"gc_caH","1_caH"
1925,15,NA,5,NA,33.33,"gc_caH","1_caH"
1926,15,NA,6,NA,40,"gc_caH","1_caH"
1927,15,NA,6,NA,40,"gc_caH","1_caH"
1928,15,NA,5,NA,33.33,"gc_caH","1_caH"
1929,15,NA,9,NA,60,"gc_caH","1_caH"
1930,15,NA,9,NA,60,"gc_caH","1_caH"
1931,15,NA,7,NA,46.67,"gc_caH","1_caH"
1932,15,NA,7,NA,46.67,"gc_caH","1_caH"
1933,15,NA,9,NA,60,"gc_caH","1_caH"
1934,15,NA,8,NA,53.33,"gc_caH","1_caH"
1935,15,NA,9,NA,60,"gc_caH","1_caH"
1936,15,NA,9,NA,60,"gc_caH","1_caH"
1937,15,NA,7,NA,46.67,"gc_caH","1_caH"
1938,15,NA,6,NA,40,"gc_caH","1_caH"
1939,15,NA,4,NA,26.67,"gc_caH","1_caH"
1940,15,NA,3,NA,20,"gc_caH","1_caH"
1941,15,1,1,6.67,6.67,"gc_caH","1_caH"
1942,15,2,1,13.33,6.67,"gc_caH","1_caH"
1943,15,2,1,13.33,6.67,"gc_caH","1_caH"
1944,15,2,2,13.33,13.33,"gc_caH","1_caH"
1945,15,3,2,20,13.33,"gc_caH","1_caH"
1946,15,3,2,20,13.33,"gc_caH","1_caH"
1947,15,3,2,20,13.33,"gc_caH","1_caH"
1948,15,2,4,13.33,26.67,"gc_caH","1_caH"
1949,15,1,3,6.67,20,"gc_caH","1_caH"
1950,15,1,2,6.67,13.33,"gc_caH","1_caH"
1951,15,1,1,6.67,6.67,"gc_caH","1_caH"
1952,15,1,NA,6.67,NA,"gc_caH","1_caH"
1953,15,1,NA,6.67,NA,"gc_caH","1_caH"
1954,15,1,NA,6.67,NA,"gc_caH","1_caH"
1955,15,1,3,6.67,20,"gc_caH","1_caH"
1956,15,1,3,6.67,20,"gc_caH","1_caH"
1957,15,1,3,6.67,20,"gc_caH","1_caH"
1958,15,1,4,6.67,26.67,"gc_caH","1_caH"
1959,15,1,4,6.67,26.67,"gc_caH","1_caH"
1960,15,NA,4,NA,26.67,"gc_caH","1_caH"
1961,15,NA,4,NA,26.67,"gc_caH","1_caH"
1962,15,NA,4,NA,26.67,"gc_caH","1_caH"
1963,15,NA,3,NA,20,"gc_caH","1_caH"
1964,15,1,1,6.67,6.67,"gc_caH","1_caH"
1965,15,2,1,13.33,6.67,"gc_caH","1_caH"
1966,15,2,1,13.33,6.67,"gc_caH","1_caH"
1967,15,3,1,20,6.67,"gc_caH","1_caH"
1968,15,4,2,26.67,13.33,"gc_caH","1_caH"
1969,15,3,2,20,13.33,"gc_caH","1_caH"
1970,15,3,1,20,6.67,"gc_caH","1_caH"
1971,15,1,1,6.67,6.67,"gc_caH","1_caH"
1972,15,1,1,6.67,6.67,"gc_caH","1_caH"
1973,15,1,1,6.67,6.67,"gc_caH","1_caH"
1974,15,NA,1,NA,6.67,"gc_caH","1_caH"
1975,15,NA,1,NA,6.67,"gc_caH","1_caH"
1976,15,1,1,6.67,6.67,"gc_caH","1_caH"
1977,15,1,NA,6.67,NA,"gc_caH","1_caH"
1978,15,1,1,6.67,6.67,"gc_caH","1_caH"
1979,15,1,1,6.67,6.67,"gc_caH","1_caH"
1980,15,1,1,6.67,6.67,"gc_caH","1_caH"
1981,15,2,1,13.33,6.67,"gc_caH","1_caH"
1982,15,3,1,20,6.67,"gc_caH","1_caH"
1983,15,4,NA,26.67,NA,"gc_caH","1_caH"
1984,15,3,NA,20,NA,"gc_caH","1_caH"
1985,15,3,NA,20,NA,"gc_caH","1_caH"
1986,15,3,NA,20,NA,"gc_caH","1_caH"
1987,15,3,NA,20,NA,"gc_caH","1_caH"
1988,15,2,1,13.33,6.67,"gc_caH","1_caH"
1989,15,1,2,6.67,13.33,"gc_caH","1_caH"
1990,15,1,2,6.67,13.33,"gc_caH","1_caH"
1991,15,NA,2,NA,13.33,"gc_caH","1_caH"
1992,15,NA,3,NA,20,"gc_caH","1_caH"
1993,15,1,3,6.67,20,"gc_caH","1_caH"
1994,15,1,NA,6.67,NA,"gc_caH","1_caH"
1995,15,3,NA,20,NA,"gc_caH","1_caH"
1996,15,1,NA,6.67,NA,"gc_caH","1_caH"
1997,15,2,NA,13.33,NA,"gc_caH","1_caH"
1998,15,3,NA,20,NA,"gc_caH","1_caH"
1999,15,4,NA,26.67,NA,"gc_caH","1_caH"
2000,15,6,NA,40,NA,"gc_caH","1_caH"
2001,15,10,NA,66.67,NA,"gc_caH","1_caH"
2002,15,7,NA,46.67,NA,"gc_caH","1_caH"
2003,15,5,1,33.33,6.67,"gc_caH","1_caH"
2004,15,3,2,20,13.33,"gc_caH","1_caH"
2005,15,1,2,6.67,13.33,"gc_caH","1_caH"
2006,15,2,2,13.33,13.33,"gc_caH","1_caH"
1931,1,NA,1,NA,100,"gc_sj","0_sj"
1932,1,NA,1,NA,100,"gc_sj","0_sj"
1933,1,NA,1,NA,100,"gc_sj","0_sj"
1934,1,NA,1,NA,100,"gc_sj","0_sj"
1935,1,NA,1,NA,100,"gc_sj","0_sj"
1936,2,NA,2,NA,100,"gc_sj","0_sj"
1937,4,NA,3,NA,75,"gc_sj","0_sj"
1938,4,NA,3,NA,75,"gc_sj","0_sj"
1939,5,2,2,40,40,"gc_sj","0_sj"
1940,6,4,1,66.67,16.67,"gc_sj","0_sj"
1941,6,5,NA,83.33,NA,"gc_sj","0_sj"
1942,7,6,NA,85.71,NA,"gc_sj","0_sj"
1943,7,7,NA,100,NA,"gc_sj","0_sj"
1944,7,7,NA,100,NA,"gc_sj","0_sj"
1945,7,7,NA,100,NA,"gc_sj","0_sj"
1946,8,8,NA,100,NA,"gc_sj","0_sj"
1947,8,8,NA,100,NA,"gc_sj","0_sj"
1948,8,7,NA,87.5,NA,"gc_sj","0_sj"
1949,8,7,NA,87.5,NA,"gc_sj","0_sj"
1950,8,6,1,75,12.5,"gc_sj","0_sj"
1951,8,5,1,62.5,12.5,"gc_sj","0_sj"
1952,8,3,2,37.5,25,"gc_sj","0_sj"
1953,8,1,2,12.5,25,"gc_sj","0_sj"
1954,8,1,2,12.5,25,"gc_sj","0_sj"
1955,8,1,2,12.5,25,"gc_sj","0_sj"
1956,9,2,2,22.22,22.22,"gc_sj","0_sj"
1957,14,2,4,14.29,28.57,"gc_sj","0_sj"
1958,18,3,5,16.67,27.78,"gc_sj","0_sj"
1959,20,2,5,10,25,"gc_sj","0_sj"
1960,20,2,5,10,25,"gc_sj","0_sj"
1961,20,2,7,10,35,"gc_sj","0_sj"
1962,20,1,9,5,45,"gc_sj","0_sj"
1963,20,1,12,5,60,"gc_sj","0_sj"
1964,20,1,12,5,60,"gc_sj","0_sj"
1965,20,1,14,5,70,"gc_sj","0_sj"
1966,20,1,15,5,75,"gc_sj","0_sj"
1967,20,NA,15,NA,75,"gc_sj","0_sj"
1968,20,NA,13,NA,65,"gc_sj","0_sj"
1969,20,NA,14,NA,70,"gc_sj","0_sj"
1970,20,NA,15,NA,75,"gc_sj","0_sj"
1971,20,NA,18,NA,90,"gc_sj","0_sj"
1972,20,NA,18,NA,90,"gc_sj","0_sj"
1973,20,NA,18,NA,90,"gc_sj","0_sj"
1974,20,NA,18,NA,90,"gc_sj","0_sj"
1975,20,NA,19,NA,95,"gc_sj","0_sj"
1976,20,NA,14,NA,70,"gc_sj","0_sj"
1977,20,NA,14,NA,70,"gc_sj","0_sj"
1978,20,NA,16,NA,80,"gc_sj","0_sj"
1979,20,NA,16,NA,80,"gc_sj","0_sj"
1980,20,NA,16,NA,80,"gc_sj","0_sj"
1981,20,NA,14,NA,70,"gc_sj","0_sj"
1982,20,NA,14,NA,70,"gc_sj","0_sj"
1983,20,NA,11,NA,55,"gc_sj","0_sj"
1984,20,NA,10,NA,50,"gc_sj","0_sj"
1985,20,NA,13,NA,65,"gc_sj","0_sj"
1986,20,NA,14,NA,70,"gc_sj","0_sj"
1987,20,NA,15,NA,75,"gc_sj","0_sj"
1988,20,NA,16,NA,80,"gc_sj","0_sj"
1989,20,NA,15,NA,75,"gc_sj","0_sj"
1990,20,NA,14,NA,70,"gc_sj","0_sj"
1991,20,1,10,5,50,"gc_sj","0_sj"
1992,20,5,6,25,30,"gc_sj","0_sj"
1993,20,8,2,40,10,"gc_sj","0_sj"
1994,20,13,1,65,5,"gc_sj","0_sj"
1995,20,14,1,70,5,"gc_sj","0_sj"
1996,20,14,NA,70,NA,"gc_sj","0_sj"
1997,20,12,NA,60,NA,"gc_sj","0_sj"
1998,20,13,NA,65,NA,"gc_sj","0_sj"
1999,20,16,NA,80,NA,"gc_sj","0_sj"
2000,20,17,NA,85,NA,"gc_sj","0_sj"
2001,20,13,NA,65,NA,"gc_sj","0_sj"
2002,20,6,5,30,25,"gc_sj","0_sj"
2003,20,5,5,25,25,"gc_sj","0_sj"
2004,20,1,9,5,45,"gc_sj","0_sj"
2005,20,3,7,15,35,"gc_sj","0_sj"
2006,20,5,6,25,30,"gc_sj","0_sj"
